iter	Passed	Remaining
175	427	2002
176	428	1991
177	428	1979
178	429	1968
179	429	1957
180	430	1945
181	430	1935
182	431	1924
183	431	1914
184	432	1903
185	432	1893
186	433	1884
187	434	1874
188	434	1864
189	435	1855
190	435	1845
191	436	1836
192	436	1826
193	437	1817
194	438	1808
195	438	1799
196	439	1790
197	441	1786
198	441	1778
199	442	1769
200	442	1760
201	443	1751
202	443	1742
203	444	1733
204	444	1725
205	445	1716
206	445	1708
207	446	1699
208	446	1691
209	447	1683
210	448	1675
211	448	1667
212	449	1659
213	449	1651
214	450	1643
215	450	1636
216	451	1628
217	451	1621
218	452	1613
219	453	1606
220	453	1598
221	454	1591
222	454	1583
223	456	1581
224	458	1578
225	459	1571
226	460	1567
227	461	1561
228	462	1557
229	464	1554
230	465	1548
231	465	1541
232	466	1534
233	466	1527
234	467	1520
235	467	1514
236	468	1507
237	468	1500
238	469	1494
239	469	1487
240	471	1485
241	472	1480
242	473	1474
243	473	1468
244	474	1463
245	475	1457
246	476	1451
247	476	1445
248	477	1438
249	477	1432
250	478	1426
251	478	1420
252	479	1414
253	479	1408
254	480	1403
255	480	1397
256	481	1391
257	481	1385
258	482	1380
259	482	1374
260	483	1368
261	483	1363
262	484	1357
263	485	1352
264	487	1352
265	488	1347
266	488	1341
267	489	1336
268	489	1331
269	490	1325
270	490	1320
271	491	1315
272	491	1310
273	492	1304
274	492	1299
275	493	1294
276	494	1289
277	494	1284
278	495	1279
279	495	1274
280	496	1269
281	496	1264
282	497	1260
283	497	1255
284	498	1250
285	498	1245
286	499	1240
287	499	1236
288	500	1231
289	503	1233
290	504	1229
291	505	1224
292	505	1220
293	506	1216
294	507	1211
295	508	1208
296	509	1205
297	509	1201
298	510	1197
299	511	1193
300	512	1190
301	513	1186
302	514	1182
303	514	1178
304	517	1178
305	518	1175
306	519	1171
307	519	1167
308	520	1163
309	521	1160
310	522	1157
311	523	1153
312	523	1149
313	524	1145
314	525	1141
315	525	1137
316	526	1133
317	526	1129
318	527	1125
319	528	1122
320	528	1118
321	530	1116
322	530	1112
323	532	1110
324	533	1107
325	533	1103
326	535	1101
327	536	1098
328	536	1094
329	537	1091
330	537	1087
331	538	1083
332	538	1079
333	539	1075
334	540	1071
335	540	1068
336	541	1064
337	541	1060
338	542	1057
339	542	1053
340	543	1049
341	543	1046
342	544	1042
343	544	1038
344	545	1035
345	545	1031
346	548	1031
347	548	1028
348	549	1025
349	551	1023
350	553	1022
351	553	1019
352	554	1016
353	555	1013
354	555	1010
355	556	1006
356	557	1003
357	557	1000
358	558	996
359	558	993
360	559	990
361	559	986
362	560	984
363	561	980
364	562	978
365	563	976
366	565	974
367	565	971
368	566	968
369	566	965
370	567	962
371	568	959
372	569	956
373	569	954
374	570	951
375	571	948
376	572	946
377	573	943
378	573	940
379	574	937
380	574	934
381	577	934
382	579	934
383	581	932
384	582	930
385	583	927
386	584	925
387	584	922
388	585	919
389	585	916
390	586	913
391	586	910
392	587	907
393	587	904
394	588	901
395	589	898
396	589	895
397	590	892
398	590	889
399	594	891
400	597	892
401	597	889
402	598	886
403	599	884
404	599	881
405	600	878
406	600	875
407	601	872
408	601	869
409	602	866
410	602	864
411	603	861
412	604	859
413	605	856
414	605	854
415	610	857
416	612	856
417	614	855
418	614	852
419	615	850
420	616	847
421	617	845
422	617	842
423	618	839
424	618	837
425	619	834
426	619	831
427	620	828
428	620	826
429	621	823
430	626	827
431	629	827
432	630	825
433	631	823
434	631	820
435	632	818
436	633	815
437	633	812
438	634	810
439	634	807
440	635	805
441	635	802
442	636	800
443	636	797
444	640	798
445	644	800
446	645	798
447	646	796
448	646	793
449	647	791
450	647	788
451	648	786
452	648	783
453	649	781
454	650	778
455	651	776
456	651	774
457	652	772
458	659	777
459	660	775
460	661	773
461	662	770
462	662	768
463	663	766
464	664	764
465	665	762
466	665	759
467	666	757
468	666	755
469	667	752
470	668	750
471	673	753
472	674	751
473	675	750
474	677	748
475	677	746
476	678	744
477	679	741
478	679	739
479	680	737
480	680	734
481	681	732
482	682	730
483	682	727
484	683	725
485	683	723
486	687	724
487	689	723
488	690	721
489	691	719
490	692	717
491	693	715
492	693	713
493	694	710
494	694	708
495	695	706
496	695	704
497	696	701
498	696	699
499	697	697
500	697	695
501	698	692
502	698	690
503	702	691
504	703	689
505	704	688
506	705	685
507	706	684
508	707	682
509	707	680
510	708	677
511	708	675
512	709	673
513	709	671
514	710	669
515	711	666
516	711	664
517	712	662
518	712	660
519	713	658
520	713	656
521	714	654
522	717	654
523	718	653
524	719	650
525	720	648
526	720	647
527	721	644
528	721	642
529	722	640
530	722	638
531	723	636
532	724	634
533	724	632
534	725	630
535	725	628
536	726	626
537	726	624
538	727	622
539	728	620
540	728	618
541	731	618
542	732	616
543	733	614
544	734	612
545	734	610
546	735	608
547	735	606
548	736	604
549	736	602
550	737	600
551	737	598
552	738	596
553	738	594
554	739	592
555	739	590
556	740	588
557	741	586
558	741	585
559	742	583
560	742	581
561	743	579
562	743	577
563	744	575
564	744	573
565	745	571
566	746	570
567	747	568
568	747	566
569	748	564
570	748	562
571	749	560
572	749	558
573	750	556
574	750	554
575	751	553
576	751	551
577	752	549
578	753	548
579	754	546
580	754	544
581	755	542
582	755	540
583	756	538
584	756	536
585	757	535
586	757	533
587	758	531
588	761	531
589	761	529
590	762	527
591	762	525
592	763	523
593	764	522
594	764	520
595	765	519
596	766	517
597	766	515
598	767	513
599	768	512
600	768	510
601	769	508
602	770	506
603	770	505
604	771	503
605	771	501
606	772	500
607	773	498
608	773	496
609	776	496
610	777	495
611	778	493
612	779	492
613	780	490
614	780	488
615	781	487
616	782	485
617	782	483
618	783	482
619	783	480
620	784	478
621	784	477
622	785	475
623	786	473
624	786	471
625	787	470
626	787	468
627	787	466
628	788	465
629	789	463
630	792	463
631	793	461
632	793	460
633	794	458
634	794	456
635	795	455
636	795	453
637	796	451
638	797	450
639	797	448
640	798	446
641	798	445
642	799	443
643	799	442
644	800	440
645	800	438
646	801	437
647	801	435
648	802	433
649	802	432
650	803	430
651	803	429
652	804	427
653	804	425
654	807	425
655	807	423
656	808	422
657	808	420
658	809	418
659	810	417
660	810	415
661	811	414
662	811	412
663	812	411
664	812	409
665	813	407
666	813	406
667	814	404
668	814	403
669	815	401
670	815	400
671	816	398
672	817	397
673	817	395
674	818	393
675	818	392
676	819	390
677	819	389
678	820	387
679	821	386
680	821	384
681	822	383
682	822	381
683	823	380
684	823	378
685	824	377
686	824	375
687	825	374
688	825	372
689	826	371
690	827	369
691	827	368
692	828	366
693	828	365
694	829	363
695	829	362
696	830	360
697	830	359
698	831	357
699	831	356
700	832	355
701	832	353
702	833	352
703	833	350
704	834	349
705	835	347
706	835	346
707	836	344
708	836	343
709	837	342
710	837	340
711	838	339
712	838	337
713	839	336
714	840	334
715	840	333
716	841	331
717	841	330
718	842	329
719	842	327
720	843	326
721	843	324
722	844	323
723	844	322
724	845	320
725	845	319
726	846	317
727	846	316
728	847	315
729	849	314
730	850	312
731	851	311
732	851	310
733	852	308
734	852	307
735	853	306
736	853	304
737	854	303
738	854	301
739	855	300
740	855	299
741	856	297
742	856	296
743	857	295
744	857	293
745	858	292
746	858	290
747	859	289
748	860	288
749	860	286
750	861	285
751	861	284
752	862	282
753	862	281
754	863	280
755	865	279
756	866	278
757	866	276
758	867	275
759	867	274
760	868	272
761	869	271
762	869	270
763	870	268
764	870	267
765	871	266
766	871	264
767	872	263
768	872	262
769	873	260
770	874	259
771	874	258
772	875	256
773	875	255
774	876	254
775	876	253
776	877	251
777	877	250
778	878	249
779	880	248
780	881	247
781	881	245
782	882	244
783	882	243
784	883	241
785	883	240
786	884	239
787	884	238
788	885	236
789	886	235
790	886	234
791	887	232
792	887	231
793	888	230
794	888	229
795	889	227
796	889	226
797	890	225
798	890	224
799	891	222
800	893	222
801	907	224
802	909	223
803	910	221
804	918	222
805	923	222
806	924	221
807	925	219
808	926	218
809	929	217
810	930	216
811	931	215
812	932	214
813	933	213
814	934	212
815	935	211
816	936	209
817	937	208
818	937	207
819	938	206
820	940	204
821	947	205
822	948	203
823	950	203
824	951	201
825	952	200
826	952	199
827	953	198
828	954	196
829	961	196
830	965	196
831	966	195
832	968	194
833	968	192
834	969	191
835	970	190
836	975	189
837	978	189
838	979	187
839	980	186
840	980	185
841	981	184
842	981	182
843	982	181
844	982	180
845	983	179
846	983	177
847	984	176
848	984	175
849	985	173
850	990	173
851	991	172
852	993	171
853	995	170
854	996	169
855	997	167
856	998	166
857	999	165
858	999	164
859	1000	162
860	1028	166
861	1038	166
862	1040	165
863	1078	169
864	1082	168
865	1090	168
866	1096	168
867	1107	168
868	1108	167
869	1111	166
870	1115	165
871	1120	164
872	1124	163
873	1125	162
874	1130	161
875	1136	160
876	1138	159
877	1140	158
878	1142	157
879	1145	156
880	1146	154
881	1149	153
882	1152	152
883	1155	151
884	1156	150
885	1157	148
886	1158	147
887	1159	146
888	1160	144
889	1160	143
890	1161	142
891	1162	140
892	1166	139
893	1167	138
894	1170	137
895	1171	135
896	1172	134
897	1172	133
898	1173	131
899	1174	130
900	1174	129
901	1175	127
902	1175	126
903	1176	124
904	1176	123
905	1181	122
906	1182	121
907	1183	119
908	1184	118
909	1185	117
910	1186	115
911	1186	114
912	1187	113
913	1187	111
914	1188	110
915	1188	109
916	1189	107
917	1190	106
918	1190	104
919	1191	103
920	1191	102
921	1192	100
922	1194	99
923	1197	98
924	1199	97
925	1200	95
926	1200	94
927	1201	93
928	1202	91
929	1202	90
930	1203	89
931	1203	87
932	1204	86
933	1204	85
934	1205	83
935	1205	82
936	1206	81
937	1206	79
938	1207	78
939	1212	77
940	1214	76
941	1216	74
942	1217	73
943	1218	72
944	1219	70
945	1220	69
946	1221	68
947	1222	67
948	1223	65
949	1225	64
950	1228	63
951	1230	62
952	1232	60
953	1233	59
954	1234	58
955	1235	56
956	1236	55
957	1240	54
958	1242	53
959	1244	51
960	1245	50
961	1246	49
962	1247	47
963	1247	46
964	1248	45
965	1249	43
966	1249	42
967	1250	41
968	1250	40
969	1251	38
970	1251	37
971	1255	36
972	1256	34
973	1257	33
974	1258	32
975	1259	30
976	1259	29
977	1260	28
978	1260	27
979	1261	25
980	1261	24
981	1262	23
982	1263	21
983	1263	20
984	1264	19
985	1264	17
986	1265	16
987	1265	15
988	1266	14
989	1266	12
990	1267	11
991	1270	10
992	1271	8
993	1271	7
994	1272	6
995	1272	5
996	1273	3
997	1273	2
998	1274	1
999	1274	0
